product_id,product_name,category,brand,unit_price,cost_price,supplier_id,sku,description,manufacturer,weight,dimensions,is_active
e736950f-31d8-4531-9acc-ec7f14ce634f,Area Need,Clothing,Norris PLC,282.95,173.81,65be0563-5b93-4b50-a087-1916321ed331,SKU-0774-nLOZ,Prove concern get voice letter Republican pay.,Vang-Frazier,4.67,96x56x56 cm,True
e84b23a6-2636-4dbd-8fc6-d060d019d33f,Mouth Drug,Toys,Washington Ltd,164.9,87.76,c95ae897-1e66-4db6-8bee-678f2c953e1f,SKU-0543-kEQW,Student watch course agent have hotel town.,Harrell-Thomas,8.06,29x84x3 cm,True
582d3bd0-c1eb-42be-a7b0-69387e70ff3c,Tend Leg,Books,Preston-Nelson,485.75,341.1,1e98a1a1-1873-4527-ba44-d3f242224203,SKU-4014-hsKE,Teach campaign almost television appear possible former kind.,George Inc,3.03,53x83x63 cm,True
77e28f71-43d7-4cfc-995b-d1a7b68df192,Open Door,Toys,"Smith, Young and Cline",564.45,393.09,b9fb779b-9654-4915-abf2-8c9cfdfa16fd,SKU-6533-LeJD,Perhaps any tree can kitchen discussion.,"Thomas, Moore and Hill",7.49,70x75x86 cm,True
32004608-df4a-4442-be6c-2369105128b4,Seek Type,Clothing,"Simmons, Massey and Smith",278.17,189.5,61d81686-dabc-4ddf-9531-78c7e6874649,SKU-8662-yrpI,Agree score other win along necessary.,Lester LLC,3.85,19x54x27 cm,True
56ccd62d-e407-4e0d-b427-29daa0e86d23,Six Exactly,Clothing,Brown-Morton,623.13,316.09,ca68d2ce-7e3f-412d-9c11-9cf4c0c9fb29,SKU-6742-GoXD,Respond sense pay role develop police tell job edge level test major.,Ellis-Paul,3.58,66x39x88 cm,True
4d6cd49e-0a06-4669-bc47-5a95f5ccb9b5,Hundred While,Toys,Ellis Ltd,263.49,181.98,d6a4c64f-cbcd-49ee-95c0-bebfa5528bdb,SKU-0080-jqtp,Walk consider discover send interview fine bar middle three career really blood still.,"Norton, Jordan and Johnson",6.21,51x74x29 cm,True
3a74c0c8-d301-40d7-bd49-ac5c53986dba,Offer Effort,Home & Kitchen,Blackwell-Dudley,303.51,175.1,3fc7135a-e4fc-4b19-a226-ce98944215ab,SKU-2827-yvlv,Building listen cold would have quality senior those tax boy economy.,Todd PLC,8.64,22x75x9 cm,True
0f72b126-f9a1-42c0-8781-57014e71b78d,Mrs Reason,Electronics,Adams-Williams,439.79,232.83,501614ef-29ca-417d-8e48-75b9d7d07fdc,SKU-1605-shpL,Morning artist indeed quite effect magazine especially floor I herself.,Fuentes Ltd,8.31,69x37x45 cm,True
fbd3e114-c1ad-42da-9696-12bcd47b9098,Attention Best,Toys,Edwards and Sons,705.28,482.68,82f715ca-f653-4850-8357-e2f1dddcb63c,SKU-3566-JCwh,Marriage seven hour mouth series together certain development go.,"Price, Trevino and Harvey",3.94,66x1x65 cm,True
3d39b1d2-11bd-4391-a62f-0e781bb82346,Section Long,Home & Kitchen,"Byrd, Ray and Norris",388.99,250.85,bbcd994f-5395-4d2b-93a2-c164d64d4c25,SKU-6294-VZjC,Reach fact difficult able visit project growth scientist soon available region five.,Petersen LLC,8.73,14x58x7 cm,True
627fa399-c137-437c-97fb-fb5f59346a3f,Scientist Expert,Toys,Sanders Inc,668.24,346.77,3f761160-4775-4b4d-b5cd-c5307f6e46db,SKU-0431-DtPQ,Team agree play say trial pretty chance ten customer act avoid.,Hudson and Sons,3.01,75x74x60 cm,True
e811b846-bdaf-4864-bb3b-ef316e134a85,Morning Certain,Books,Odom-Nichols,860.04,497.12,3d06c0cc-8667-44bc-91a3-fa1faeb50ca1,SKU-6872-lgwl,Pattern wife rather attack let tell Democrat me type big.,"Robles, Yates and Thomas",9.08,84x85x65 cm,True
5d16bb17-22c9-42e2-84db-54a6ff39a241,Everyone Yet,Electronics,Blair-Gomez,197.28,131.6,8f32b147-ddb3-4c12-bd20-8b8fffc7e492,SKU-4675-YwKL,Old everyone control lead picture million.,Sweeney LLC,7.18,39x80x36 cm,True
826a7383-7df2-4e24-b67d-a2f522f950bd,Never Kid,Clothing,Harris-Aguilar,266.8,149.98,9929228e-6326-4eda-ba58-e70a124f3143,SKU-3832-Cdjx,Be prepare know occur thought administration nice information arm shake argue worry sign.,Ward Inc,8.05,70x3x37 cm,True
e473d55f-f396-4cf7-bc0a-8a75cd6b3744,Create Take,Books,Jackson-Moore,808.19,570.38,b3b7f95b-b319-4bdc-a80f-5c4c413fe875,SKU-3460-mCjg,Father maintain happen single name page administration however community administration body sit.,Nguyen LLC,9.85,18x46x73 cm,True
fb4ab3de-1df1-4112-a452-bc29b937b3f0,In Economic,Toys,Hill Group,531.92,420.55,e407811e-bc5b-45d2-809a-19857d53b448,SKU-3291-RroO,About social report recognize member with.,"Farmer, Barton and Foley",5.09,14x70x21 cm,True
7d227cb7-9988-4ef3-ba55-c526e9a07d90,Major Future,Electronics,Kelly-Gonzales,362.25,208.65,04f69a6f-2532-493f-9300-11eabae33bfb,SKU-2921-Gmqg,Late us receive per main debate political authority describe.,Walker-Lawson,4.89,52x29x25 cm,True
a7703b43-f39b-46cf-bf6d-0a693ce07160,Democratic Current,Clothing,Jenkins and Sons,552.65,354.93,38a8cb16-290c-4ef8-8a95-fe2f440abf7b,SKU-0837-xymn,Energy seem necessary history benefit become rock support.,Robbins-Jackson,2.26,49x57x52 cm,True
281259b2-1034-4e1b-b989-21cf04fab8b4,Energy Their,Books,Salazar-Villarreal,231.85,173.41,a90191e2-c31d-483e-b803-a775bd84b28d,SKU-8357-GcFA,Have might hotel help body Mr cause important.,"Mcneil, Montgomery and Johnson",5.3,70x11x35 cm,True
352e74fa-fc72-4fc8-9c36-e6112c07268a,Back Sign,Home & Kitchen,Torres-Hayden,55.46,37.02,388bfcb2-3421-4e5d-9dc7-bfdac1b6d004,SKU-0618-KqtR,Difference say laugh example reduce amount enter.,"Lopez, Sims and Wright",3.46,95x49x61 cm,True
eb6d10e9-44f7-4c63-aa10-bb4a40c438bf,Across Sea,Books,"Duke, Contreras and Elliott",697.22,378.68,adb74423-022c-4c2b-88cf-4b6b9124c491,SKU-4962-TpXS,Style occur leave alone room recognize I car evening middle animal strong.,"Morales, Stewart and Rodriguez",3.7,91x51x60 cm,True
bb5ce5d6-ed72-4d96-b89a-a42b9b39c043,Pressure Too,Books,Walker and Sons,928.57,641.19,a54a6f5f-b730-486d-b059-e0b9544bd888,SKU-4791-LVNn,Hundred cause late last listen east act hair.,Wood Ltd,3.09,41x31x24 cm,True
6b5e167e-8c8c-4afb-beac-8e889ec45d83,Guess What,Clothing,"Holloway, Bush and Baker",744.64,382.51,d35f094e-ce71-4d0a-aa97-6da7b67b1223,SKU-6935-OfTJ,Bank hot have dark player build me real.,"Wallace, Carey and Buchanan",1.01,60x18x11 cm,True
570a4d65-b7e5-4109-ac2a-8e411d8c8033,Seat Benefit,Electronics,"Pollard, Miller and Peterson",567.83,452.07,b79c2b21-ad12-4632-b4f6-a26ce5a8500f,SKU-4695-fjZT,Relationship far president participant analysis until daughter might program final whether society white.,"Henderson, Johnson and Arnold",0.57,14x11x62 cm,True
593f28d4-3d35-49bc-89c3-305042cc053c,Yeah Across,Electronics,Martinez and Sons,565.06,369.04,24957723-159e-4cce-9e04-b403583cdd42,SKU-8766-PILk,Act agent somebody there citizen subject as series amount pass though because.,Ayala and Sons,2.35,74x67x87 cm,True
669809bd-186b-4eaa-bb6a-4bc506c9fb0f,Let Hard,Home & Kitchen,Roman-Johnson,839.98,581.4,84edb61d-ce40-48a8-85c2-8d6492fe9986,SKU-9519-nxDJ,Exactly article suggest hope few center behavior.,"Allen, Thompson and Brown",2.11,7x35x96 cm,True
