supplier_id,supplier_name,contact_name,contact_email,contact_phone,address,city,state,country,postal_code,website,payment_terms,lead_time
3c5e9c30-b5cd-4192-ba4c-ceccc47bc28b,Olson Inc,David White,robin88@example.org,+1-372-934-6547x31032,"6528 Erin Flat, Loganborough, MN 94759",Danielbury,Kentucky,French Guiana,93711,https://www.skinner-bowers.info/,Net 90,28
cb8e1f60-3714-4ad1-8545-9c47a45ec071,Delgado Ltd,John Holt,tara87@example.net,001-389-500-9968x717,"797 Woods Fork, Lauramouth, MS 78980",East Karenfurt,Minnesota,Spain,26254,http://owens.com/,Net 60,19
c96f2617-da9b-46a9-b18a-ba3c6006d3b1,"Rice, Harmon and Bolton",Ashley Sherman,thompsonandrew@example.net,+1-916-883-8106x094,"5455 Corey Streets, Dylanmouth, GA 12396",Lynnside,New York,Belize,57284,https://www.baker.com/,Net 60,3
0cf10836-a9d4-4fca-bd40-363118ec7f5b,Cook-Lawrence,Sean Butler,crawfordchelsey@example.net,(567)764-5995x247,"39612 Hernandez Route Apt. 031, South John, MN 25608",Terrychester,New York,Bosnia and Herzegovina,06817,http://www.rios.com/,Net 90,17
363f4443-d931-407c-a1b2-04d73ab34ce8,Murray-Wright,Matthew Willis,shorton@example.org,+1-737-723-4998x48888,"PSC 6091, Box 8831, APO AP 72826",Dylanbury,Alaska,Nauru,60357,http://www.michael-stewart.com/,Net 60,20
ccbbb723-7fbc-49c3-9155-da952726b04c,"Davis, Butler and Lin",Shelley Summers,mckeedaniel@example.net,665-847-9750x14405,"6659 Melinda Cliff, New Marcus, RI 74406",Bakerburgh,Virginia,Kazakhstan,99060,http://www.glover.biz/,Net 30,25
5f7666af-51ad-462d-8030-e85756610770,"Carney, Jimenez and Robertson",Katherine Flores,anthony04@example.com,688-222-2748x086,"821 Tyler Motorway, Vegaberg, NV 51382",Deniseview,Oregon,Malaysia,28376,http://smith.com/,Net 30,14
2a787dad-5da5-4eda-b976-1b6ebe9ccf00,Robinson PLC,Johnny Brown,jimenezlaura@example.com,(484)686-9231x83686,"551 Charles Groves, Ebonyborough, MT 29973",Hillview,Vermont,Tuvalu,43213,https://www.hall-schroeder.info/,Net 60,9
81fb4e91-0f82-487c-a133-389206da0b0b,Little and Sons,Michael Jackson,dana93@example.net,001-363-597-8758x630,"294 Melissa Ports Suite 073, West Cynthia, OR 47069",Whitakerville,Wisconsin,Cyprus,27742,http://ramos.net/,Net 90,29
f5ec56ce-ee9f-42da-bc9c-31f15e39c44d,Armstrong PLC,James Edwards,olsonlogan@example.net,(246)876-8269x72017,"783 Laura Forges, North Sarah, IL 23027",Port Shanefort,Maryland,South Africa,63903,https://www.stone.com/,Net 60,22
482c2fd0-6f29-4a05-abb4-40e5e22a3452,Zimmerman-Jones,Mrs. Megan Blake MD,trogers@example.com,304-202-2270,"08383 Andrea Forks Apt. 797, Danielside, DE 78733",Dixonport,Wyoming,Thailand,68957,https://www.schaefer-hayes.org/,Net 90,15
2bc5f4d1-07b2-41da-a378-ed1c752eabb6,"Miller, Brennan and Smith",Crystal Sweeney,jennifer77@example.net,001-496-217-7684,"049 Leslie Walks Apt. 618, Port Julie, ID 61409",Brandonburgh,Montana,Afghanistan,45126,https://williams.com/,Net 60,18
4dee34fe-24bb-49cc-ae2c-9813e3a73878,"Clay, Thomas and Farrell",Mr. Howard Brown,jasmine49@example.net,236-435-3566x106,"0812 Courtney Throughway, East Matthewfort, ME 93698",Port Bradbury,Arizona,Saint Helena,13573,http://www.brown-taylor.com/,Net 30,25
f561a2a4-011c-45d9-b6e8-73db5ca83c8e,Miller Ltd,Carl Johnson,cheryl29@example.net,(963)939-9391x1393,"44753 Brown Forge, Port Jerrymouth, AK 37754",Christopherburgh,West Virginia,Fiji,90763,https://www.pratt-fernandez.biz/,Net 60,25
7b6a4214-c0fd-405c-955f-f376ce8459b1,Johnson-Rodriguez,Paul Pace,wheelertammy@example.com,215-563-8887x41846,"80695 Lewis Neck Suite 501, Strongside, WV 22985",Charlesview,Florida,Vietnam,45226,https://www.clark-cunningham.com/,Net 90,18
a24bfe9a-ee55-46fe-ac9c-77ac49a4d6a8,Delgado-Shaffer,Crystal Lopez,erica34@example.org,(301)362-3712x62490,"3836 Brian Bypass Apt. 459, Jasonhaven, NH 27993",West Kennethbury,Missouri,Jersey,62413,https://www.cruz.com/,Net 30,8
2dadd9b1-a2ad-4aa1-ae0d-d372aec497de,"Garner, Lewis and Clark",Tiffany Grant,elucero@example.net,001-312-754-4319,"55897 Shaw Plaza Suite 408, Whitefort, MN 33462",Stevenfurt,Virginia,Anguilla,24267,https://www.miller.com/,Net 30,6
1dcb3474-d96a-4a44-ad75-75dc1dfecc3b,"Sloan, Taylor and Ortiz",Daniel Martinez,ywarren@example.org,+1-222-799-7408,"60584 Marilyn Hills Suite 202, Jonathanside, ID 74466",Port Pamelahaven,Ohio,Saint Barthelemy,81999,https://www.smith.com/,Net 60,15
b7a26e09-c067-4fc0-a1d4-b600f1780f09,Schroeder-Hernandez,Robert Garcia,washingtonmary@example.com,(716)676-7179x881,"82409 Joel Lane, Jasonside, ME 86732",New Tammy,South Dakota,Peru,09646,https://www.dennis-ramos.com/,Net 60,15
918397c1-bc8e-4d35-ba70-103fad0d2ea0,"Collins, Rivas and Jordan",Matthew Flores,tbaker@example.org,+1-902-666-7941x0684,"USS Clark, FPO AP 80902",East Evelyn,Nebraska,Niue,13928,http://vasquez-wilson.net/,Net 30,20
